job,configuration_id,quantization,workload,concurrency,repetition,status,valid_result,invalid_reasons,input_tokens,output_tokens_requested,output_tokens_per_s,request_throughput_per_s,engine_generation_tokens_delta,ttft_ms_p50,ttft_ms_p95,tpot_ms_p50,tpot_ms_p95,itl_ms_p50,itl_ms_p95,e2e_s_p50,e2e_s_p95,meets_slo,kv_cache_usage_p50,kv_cache_usage_p95,kv_cache_usage_max,num_preemptions_delta,recomputed_tokens_delta,preemption_nonzero_samples,preemption_sample_count,num_waiting_reqs_mean,num_waiting_reqs_max,num_running_reqs_mean,prefix_cache_queries_delta,prefix_cache_hits_delta,gpu_util_mean_pct,gpu_mem_used_mib_max,gpu_power_w_mean,sm_clock_mhz_mean,mem_clock_mhz_mean,gpu_temp_c_max,pcie_gen_mode,cell_num_preemptions_delta,cell_recomputed_tokens_delta,cell_kv_cache_usage_max,cell_preemption_nonzero_samples,telemetry_sample_count,chunk_token_agreement,period_estimate_s,periods_in_window,oscillation_amplitude_rel,client_tokens_between_window_samples,window_sample_span_s,kv_cache_tokens,window_seconds,window_completed_requests,window_streamed_tokens,error_count,total_requests_issued,cell_wall_seconds,weight_bytes_gb,model_path,serving_backend,corpus_version,prompt_set_hash,slo_tpot_ms,started_at,finished_at,gpu_uuid,gpu_name,driver,dispatch_ok,prefix_caching_logged,gate_fired,warmup_truncated
P1,BF16_REFERENCE,BF16,DECODE_PRIMARY,1,1,OK,True,,512,2048,36.03,0.0147,9397.0,88.37654103990644,88.68785379454494,27.71171393425945,27.714824980569794,27.707648114301264,28.011283092200756,56.81444133108016,56.82067131412914,True,0.03796561604584525,0.05608882521489968,0.05694842406876788,0.0,0.0,0,26,0.0,0.0,1.0,0.0,0.0,100.0,22525.0,145.0,1761.81,13365.0,84.0,4.0,0.0,0.0,0.05694842406876788,0,46,True,56.8,4.78,0.0305,,,44688,271.41,4,9780,0,9,452.21,16.1,/home/sathvik/.cache/huggingface/hub/models--NousResearch--Meta-Llama-3.1-8B-Instruct/snapshots/d10aef7999a2b5ba950ab3974312feeedbfe0b77,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T16:40:56-0400,2026-08-23T16:48:29-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,BF16_REFERENCE,BF16,DECODE_PRIMARY,8,1,OK,True,,512,2048,268.3,0.1158,70072.0,476.3474609935656,665.1876088930294,29.507740899662494,29.56472329139522,29.420049977488816,30.997610150370747,60.881188605562784,60.88634968092665,True,0.31232091690544417,0.4392908309455587,0.44412607449856734,0.0,0.0,0,26,0.0,0.0,8.0,0.0,0.0,100.0,22525.0,144.99,1953.63,13365.0,84.0,4.0,0.0,0.0,0.45558739255014324,0,49,True,60.9,4.54,0.0797,,,44688,276.43,32,74165,0,72,487.23,16.1,/home/sathvik/.cache/huggingface/hub/models--NousResearch--Meta-Llama-3.1-8B-Instruct/snapshots/d10aef7999a2b5ba950ab3974312feeedbfe0b77,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T16:48:29-0400,2026-08-23T16:56:36-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,BF16_REFERENCE,BF16,DECODE_PRIMARY,12,1,OK,True,,512,2048,381.39,0.1582,111024.0,606.5776910400018,744.0044106915593,31.06901059401484,31.276393805351383,30.885396641679108,33.44279818702489,64.20757492503617,64.21233655761462,True,0.4469914040114613,0.6498567335243552,0.671919770773639,0.0,0.0,0,29,0.0,0.0,11.97,0.0,0.0,100.0,22525.0,145.0,1886.23,13365.0,84.0,4.0,0.0,0.0,0.6747851002865329,0,52,True,63.2,4.8,0.218,,,44688,303.44,48,115730,0,108,514.24,16.1,/home/sathvik/.cache/huggingface/hub/models--NousResearch--Meta-Llama-3.1-8B-Instruct/snapshots/d10aef7999a2b5ba950ab3974312feeedbfe0b77,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T16:56:38-0400,2026-08-23T17:05:12-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP8_PRIMARY,FP8,DECODE_PRIMARY,1,1,OK,True,,512,2048,66.01,0.0287,7958.0,51.72995547764003,52.02700532972813,15.115624048854496,15.116565063166735,15.113592031411827,15.398441045545042,30.99351199704688,30.995271305867938,True,0.015040052313225472,0.02259277423573649,0.02288703612882137,0.0,0.0,0,12,0.0,0.0,1.0,0.0,0.0,100.0,22485.0,145.0,2055.46,13365.0,84.0,4.0,0.0,0.0,0.02582965505966972,0,31,True,31.0,4.49,0.0148,,,97888,139.2,4,9189,0,11,309.96,9.12,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-FP8_DYNAMIC,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T17:05:35-0400,2026-08-23T17:10:45-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP8_PRIMARY,FP8,DECODE_PRIMARY,8,1,OK,True,,512,2048,449.95,0.1937,67976.0,279.10037140827626,341.6948773432523,17.55227683969415,17.641398088641886,17.508644494228065,19.08733882009983,36.20898388256319,36.210666562034746,True,0.14124570868072583,0.20148765734837334,0.20908942291973187,0.0,0.0,0,15,0.0,0.0,8.0,0.0,0.0,100.0,22485.0,145.0,1980.75,13365.0,84.0,4.0,0.0,0.0,0.20908942291973187,0,33,True,36.2,4.56,0.1482,,,97888,165.25,32,74353,0,80,325.99,9.12,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-FP8_DYNAMIC,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T17:10:47-0400,2026-08-23T17:16:13-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP8_PRIMARY,FP8,DECODE_PRIMARY,12,1,OK,True,,512,2048,617.89,0.2598,105720.0,348.2659358996898,423.1169298174791,19.10821970514216,19.223086822908336,18.997370614670217,21.566122595686466,39.46268492098898,39.504036116867795,True,0.2193885891777015,0.2889651790093183,0.29230014713094654,0.0,0.0,0,17,0.0,0.0,12.0,0.0,0.0,100.0,22485.0,145.0,1958.06,13365.0,83.0,4.0,0.0,0.0,0.29230014713094654,0,36,True,39.9,4.63,0.2394,,,97888,184.78,48,114172,0,120,355.52,9.12,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-FP8_DYNAMIC,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T17:16:15-0400,2026-08-23T17:22:11-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P3,FP8_PRIMARY,FP8,DECODE_PRIMARY,24,1,OK,True,,512,2048,1001.0,0.4417,202915.0,449.3217410054058,514.8010273114778,23.436608323467958,23.52868428935047,23.092969902791083,27.95070594875142,48.424444580916315,48.45716419426026,True,0.4315841098577734,0.6042177538008828,0.6199117214320746,0.0,0.0,0,20,0.0,0.0,23.71,0.0,0.0,100.0,22485.0,145.0,1870.48,13365.0,86.0,4.0,0.0,0.0,0.6199117214320746,0,39,True,49.4,4.4,0.343,,,97888,217.34,96,217562,0,216,388.1,9.12,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-FP8_DYNAMIC,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T17:22:13-0400,2026-08-23T17:28:41-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP4_PRIMARY,FP4,DECODE_PRIMARY,1,1,OK,True,,512,2048,88.03,0.0333,9719.0,30.192672042176127,30.225362058263272,11.353891580315551,11.36116272613245,11.363503523170948,11.642924742773175,23.271481446921825,23.286484187515452,True,0.01231358598987553,0.019688055821589813,0.01983855520591049,0.0,0.0,0,11,0.0,0.0,1.0,0.0,0.0,99.67,22059.0,145.0,1902.33,13365.0,84.0,4.0,0.0,0.0,0.021343549049117505,0,28,True,23.3,5.16,0.0259,,,116960,120.15,4,10577,0,12,270.86,6.07,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-NVFP4,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T18:54:44-0400,2026-08-23T18:59:15-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP4_PRIMARY,FP4,DECODE_PRIMARY,8,1,OK,True,,512,2048,566.85,0.2536,63224.0,170.1796604320407,207.58082624524832,13.927768981862226,13.978340168088643,13.90132401138544,15.487155877053738,28.681501042563468,28.685195832303727,True,0.11602134354904914,0.17211656861403746,0.17512655630045149,0.0,0.0,0,11,0.0,0.0,8.0,0.0,0.0,99.5,22059.0,145.0,1890.5,13365.0,84.0,4.0,0.0,0.0,0.17512655630045149,0,29,True,28.8,4.39,0.1165,,,116960,126.19,32,71528,0,88,286.93,6.07,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-NVFP4,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T18:59:15-0400,2026-08-23T19:04:02-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP4_PRIMARY,FP4,DECODE_PRIMARY,12,1,OK,True,,512,2048,763.95,0.3249,100464.0,215.15098260715604,258.4006743156351,15.446256664201698,15.502652647805187,15.380856581032276,17.965397972147912,31.830616822466254,31.86717378628673,True,0.18661923655766866,0.256286769735942,0.2626898344506773,0.0,0.0,0,13,0.0,0.0,12.0,0.0,0.0,99.86,22059.0,145.0,1883.14,13365.0,84.0,4.0,0.0,0.0,0.2626898344506773,0,32,True,31.6,4.67,0.2217,,,116960,147.72,48,112848,0,132,318.47,6.07,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-NVFP4,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T19:04:02-0400,2026-08-23T19:09:21-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
